movie_imdb_link,genres
http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,Action|Adventure|Fantasy|Sci-Fi
http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,Action|Adventure|Fantasy
http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,Action|Adventure|Thriller
http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,Action|Thriller
http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,Documentary
http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,Action|Adventure|Romance
http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance
http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,Adventure|Family|Fantasy|Mystery
http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,Action|Adventure
http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,Action|Adventure|Fantasy
http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,Action|Adventure|Western
http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,Action|Adventure|Fantasy|Sci-Fi
http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,Action|Adventure|Family|Fantasy
http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,Action|Adventure|Fantasy
http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi
http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,Adventure|Fantasy
http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,Action|Adventure|Fantasy
http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,Action|Adventure|Drama|History
http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,Adventure|Fantasy
http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,Adventure|Family|Fantasy
http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,Action|Adventure|Drama|Romance
http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,Drama|Romance
http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi|Thriller
http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi|Thriller
http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,Action|Adventure|Thriller
http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,Action|Adventure|Fantasy|Romance
http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,Adventure|Family|Fantasy
http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,Action|Adventure|Fantasy|Sci-Fi|Thriller
http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,Adventure|Animation|Comedy|Family|Fantasy
http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,Adventure|Family|Fantasy
http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,Action|Adventure|Fantasy|Sci-Fi
http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,Adventure|Animation|Comedy|Family|Sport
http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,Adventure|Animation|Comedy|Family|Fantasy
http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,Action|Crime|Thriller
http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,Action|Adventure|Horror|Sci-Fi|Thriller
http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,Action|Adventure|Fantasy|Sci-Fi|Thriller
http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,Adventure|Fantasy
http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,Drama|Romance
http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,Action|Adventure|Fantasy|Romance
http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,Action|Adventure|Fantasy
http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,Adventure|Animation|Comedy|Family|Fantasy
http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,Adventure|Animation|Comedy|Family|Fantasy
http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi|Thriller
http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,Adventure|Animation|Family|Sci-Fi
http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,Action|Comedy|Crime|Thriller
http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,Animation|Drama|Family|Fantasy
http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,Action|Adventure|Drama|Romance
http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,Adventure|Family|Fantasy
http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,Action|Crime|Drama|Thriller
http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,Adventure|Animation|Comedy|Family
http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,Action|Adventure|Animation|Comedy|Family|Sci-Fi
http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,Adventure|Drama|Family|Mystery
http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,Action|Comedy|Sci-Fi|Western
http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,Action|Adventure|Fantasy|Horror|Thriller
http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,Action|Adventure|Comedy|Sci-Fi
http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,Comedy|Family|Fantasy
http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi|Thriller
http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi|Thriller
http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,Adventure|Animation|Comedy|Drama|Family|Fantasy
http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,Adventure|Drama|Family|Fantasy
http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,Action|Adventure|Drama|Fantasy
http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,Action|Adventure|Family|Fantasy|Romance
http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,Action|Adventure|Drama|Sci-Fi
http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,Action|Adventure|Romance|Sci-Fi
http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,Action|Adventure|Drama|Fantasy
http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,Adventure|Animation|Comedy|Family|Fantasy
http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,Action|Adventure|Family|Mystery|Sci-Fi
http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi
http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,Adventure|Animation|Comedy|Family|Sci-Fi
http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,Adventure|Animation|Family|Fantasy
http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,Adventure|Animation|Family|Fantasy
http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,Action|Sci-Fi
http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,Adventure|Drama|Sci-Fi
http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi|Thriller
http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1,Action|Adventure|Drama|Horror|Sci-Fi
http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,Adventure|Fantasy
http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,Action|Crime|Thriller
http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,Drama|Fantasy|Romance
http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,Action|Adventure|Sci-Fi
http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,Adventure|Sci-Fi
http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,Action|Adventure|Family|Fantasy
http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,Action|Adventure|Drama|Thriller
