"userId","movieId","tag"
"2","60756","funny"
"2","60756","Highly quotable"
"2","60756","will ferrell"
"2","89774","Boxing story"
"2","89774","MMA"
"2","89774","Tom Hardy"
"2","106782","drugs"
"2","106782","Leonardo DiCaprio"
"2","106782","Martin Scorsese"
"7","48516","way too long"
"18","431","Al Pacino"
"18","431","gangster"
"18","431","mafia"
"18","1221","Al Pacino"
"18","1221","Mafia"
"18","5995","holocaust"
"18","5995","true story"
"18","44665","twist ending"
"18","52604","Anthony Hopkins"
"18","52604","courtroom drama"
"18","52604","twist ending"
"18","88094","britpop"
"18","88094","indie record label"
"18","88094","music"
"18","144210","dumpster diving"
"18","144210","Sustainability"
"21","1569","romantic comedy"
"21","1569","wedding"
"21","118985","painter"
"21","119141","bloody"
"49","109487","black hole"
"49","109487","sci-fi"
"49","109487","time-travel"
"62","2","fantasy"
"62","2","magic board game"
"62","2","Robin Williams"
"62","110","beautiful scenery"
"62","110","epic"
"62","110","historical"
"62","110","inspirational"
"62","110","Medieval"
"62","110","mel gibson"
"62","110","Oscar (Best Cinematography)"
"62","110","revenge"
"62","110","sword fight"
"62","410","black comedy"
"62","410","Christina Ricci"
"62","410","Christopher Lloyd"
"62","410","dark comedy"
"62","410","family"
"62","410","gothic"
"62","2023","Al Pacino"
"62","2023","Andy Garcia"
"62","2023","Classic"
"62","2023","Francis Ford Coppola"
"62","2023","mafia"
"62","2124","black comedy"
"62","2124","Christina Ricci"
"62","2124","Christopher Lloyd"
"62","2124","Family"
"62","2124","gothic"
"62","2124","quirky"
"62","2953","family"
"62","2953","funny"
"62","2953","Macaulay Culkin"
"62","2953","sequel"
"62","3114","animation"
"62","3114","Disney"
"62","3114","funny"
"62","3114","original"
"62","3114","Pixar"
"62","3114","sequel"
"62","3114","Tom Hanks"
"62","3578","ancient Rome"
"62","3578","Epic"
"62","3578","history"
"62","3578","imdb top 250"
"62","3578","revenge"
"62","3578","Rome"
"62","3578","Russell Crowe"
"62","4223","Ed Harris"
"62","4223","Jude Law"
"62","4223","Rachel Weisz"
"62","4223","sniper"
"62","4223","World War II"
"62","5388","Al Pacino"
"62","5388","atmospheric"
"62","5388","Hilary Swank"
"62","5388","Robin Williams"
"62","6058","sequel"
"62","6058","violent"
"62","6534","dogs"
